iter	Passed	Remaining
0	1	183
1	3	186
2	5	173
3	6	165
4	8	170
5	11	176
6	13	181
7	15	182
8	17	181
9	20	181
10	21	176
11	23	174
12	25	172
13	27	171
14	29	169
15	31	167
16	34	166
17	36	166
18	39	168
19	41	167
20	44	166
21	46	164
22	49	164
23	51	161
24	53	159
25	54	156
26	56	153
27	58	151
28	61	150
29	63	147
30	65	145
31	67	142
32	68	139
33	69	135
34	71	132
35	72	129
36	74	126
37	75	123
38	77	120
39	78	117
40	79	114
41	79	110
42	80	107
43	81	104
44	82	101
45	83	98
46	85	95
47	86	93
48	87	90
49	88	88
50	90	86
51	92	85
52	93	83
53	95	81
54	96	79
55	98	77
56	99	75
57	100	73
58	102	71
59	103	69
60	104	67
61	106	64
62	107	62
63	108	60
64	109	58
65	110	56
66	111	54
67	112	52
68	113	51
69	114	49
70	115	47
71	117	45
72	118	43
73	119	41
74	120	40
75	121	38
76	122	36
77	123	34
78	124	33
79	125	31
80	126	29
81	127	28
82	128	26
83	130	24
84	131	23
85	132	21
86	133	19
87	134	18
88	135	16
89	136	15
90	137	13
91	138	12
92	139	10
93	140	8
94	141	7
95	142	5
96	143	4
97	145	2
98	146	1
99	147	0
