iter	Passed	Remaining
0	145	145610
1	150	75023
2	152	50730
3	154	38355
4	156	31093
5	157	26087
6	158	22511
7	159	19803
8	160	17701
9	161	16014
10	162	14645
11	164	13539
12	165	12575
13	166	11738
14	167	11013
15	169	10404
16	170	9855
17	171	9360
18	172	8910
19	173	8506
20	174	8137
21	175	7804
22	176	7497
23	177	7214
24	178	6961
25	180	6743
26	180	6521
27	181	6313
28	183	6129
29	184	5953
30	185	5799
31	186	5645
32	187	5497
33	188	5363
34	189	5231
35	190	5112
36	192	4997
37	192	4885
38	194	4791
39	195	4697
40	196	4606
41	198	4517
42	199	4431
43	200	4345
44	201	4267
45	202	4191
46	202	4114
47	203	4044
48	204	3974
49	205	3909
50	206	3846
51	207	3785
52	208	3730
53	226	3975
54	228	3921
55	229	3863
56	230	3808
57	231	3755
58	232	3702
59	233	3653
60	234	3605
61	235	3556
62	236	3511
63	236	3465
64	238	3426
65	239	3384
66	240	3351
67	241	3314
68	242	3276
69	243	3240
70	244	3203
71	245	3168
72	246	3132
73	247	3101
74	248	3068
75	249	3037
76	250	3006
77	251	2975
78	252	2945
79	253	2918
80	254	2890
81	256	2871
82	257	2839
83	258	2813
84	259	2788
85	260	2763
86	261	2739
87	261	2714
88	262	2691
89	264	2669
90	265	2647
91	266	2626
92	267	2605
93	268	2584
94	269	2563
95	270	2546
96	271	2529
97	272	2510
98	273	2491
99	274	2473
100	275	2454
101	276	2436
102	277	2418
103	278	2400
104	279	2383
105	280	2366
106	281	2351
107	282	2336
108	283	2321
109	284	2305
110	286	2293
111	287	2278
112	288	2263
113	289	2248
114	290	2233
115	291	2219
116	292	2203
117	293	2191
118	294	2177
119	295	2165
120	296	2152
121	297	2137
122	298	2125
123	299	2112
124	300	2101
125	301	2091
126	302	2078
127	303	2066
128	304	2054
129	305	2043
130	306	2031
131	307	2020
132	308	2009
133	309	2000
134	310	1990
135	311	1978
136	312	1969
137	313	1958
138	314	1947
139	315	1939
140	316	1930
141	317	1918
142	318	1909
143	319	1900
144	320	1889
145	321	1880
146	322	1871
147	323	1863
148	324	1854
149	325	1845
150	326	1836
151	327	1827
152	328	1818
153	329	1809
154	330	1801
155	331	1795
156	332	1787
157	333	1779
158	334	1771
159	335	1763
160	336	1754
161	337	1748
162	338	1739
163	339	1732
164	340	1724
165	341	1716
166	342	1708
167	343	1701
168	344	1693
169	345	1688
170	347	1683
171	348	1676
172	349	1669
173	350	1662
174	351	1656
175	352	1649
176	353	1641
177	354	1635
178	355	1629
179	356	1623
180	357	1618
181	358	1612
182	359	1606
183	361	1601
184	362	1595
185	363	1589
186	364	1583
187	365	1578
188	366	1572
189	367	1566
190	368	1560
191	369	1554
192	370	1547
193	371	1541
194	372	1535
195	373	1530
196	374	1525
197	375	1522
198	376	1517
199	378	1512
200	379	1507
201	380	1503
202	382	1500
203	383	1497
204	384	1492
205	385	1487
206	387	1482
207	388	1477
208	389	1473
209	391	1473
210	394	1475
211	395	1470
212	396	1466
213	398	1462
214	399	1458
215	400	1453
216	401	1449
217	402	1444
218	403	1439
219	404	1434
220	406	1433
221	407	1429
222	409	1425
223	410	1421
224	411	1416
225	412	1412
226	413	1407
227	414	1403
228	415	1399
229	417	1396
230	418	1394
231	420	1391
232	421	1388
233	422	1384
234	423	1380
235	424	1375
236	426	1371
237	427	1367
238	428	1363
239	429	1358
240	430	1354
241	430	1349
242	432	1347
243	434	1345
244	435	1343
245	437	1340
246	438	1336
247	439	1332
248	440	1328
249	441	1324
250	442	1320
251	443	1316
252	444	1313
253	445	1309
254	447	1306
255	448	1302
256	449	1299
257	451	1298
258	452	1294
259	453	1292
260	455	1288
261	456	1284
262	457	1281
263	458	1277
264	459	1273
265	460	1270
266	461	1267
267	463	1264
268	464	1261
269	465	1258
270	466	1255
271	467	1252
272	468	1248
273	469	1244
274	471	1241
275	472	1238
276	473	1235
277	474	1232
278	475	1228
279	476	1226
280	478	1223
281	479	1220
282	481	1220
283	482	1217
284	484	1214
285	485	1211
286	486	1208
287	487	1205
288	488	1202
289	490	1200
290	491	1196
291	492	1193
292	493	1190
293	494	1187
294	496	1185
295	497	1182
296	498	1180
297	499	1176
298	500	1173
299	501	1171
300	502	1168
301	503	1164
302	505	1161
303	506	1159
304	507	1156
305	508	1153
306	509	1150
307	511	1148
308	512	1146
309	513	1143
310	514	1140
311	516	1138
312	517	1135
313	518	1132
314	519	1130
315	520	1127
316	521	1124
317	522	1121
318	524	1119
319	525	1117
320	526	1114
321	527	1111
322	528	1108
323	530	1106
324	531	1103
325	532	1101
326	534	1099
327	535	1097
328	536	1094
329	537	1091
330	538	1089
331	540	1087
332	541	1084
333	542	1081
334	543	1079
335	544	1076
336	545	1073
337	546	1070
338	547	1067
339	548	1065
340	549	1062
341	550	1059
342	551	1057
343	553	1054
344	554	1052
345	555	1050
346	556	1048
347	557	1045
348	558	1042
349	560	1040
350	561	1037
351	562	1034
352	563	1032
353	564	1029
354	565	1026
355	566	1023
356	566	1021
357	567	1018
358	569	1017
359	571	1015
360	572	1013
361	573	1010
362	574	1008
363	575	1006
364	576	1003
365	578	1001
366	579	999
367	580	996
368	581	994
369	582	991
370	583	989
371	585	987
372	586	985
373	587	983
374	588	981
375	589	978
376	590	976
377	591	973
378	592	971
379	593	969
380	595	966
381	596	964
382	597	961
383	598	959
384	600	958
385	601	956
386	602	954
387	603	952
388	604	950
389	606	947
390	607	945
391	608	943
392	609	941
393	610	939
394	611	936
395	612	934
396	613	932
397	615	930
398	616	928
399	617	925
400	618	923
401	619	921
402	620	918
403	621	916
404	622	914
405	623	911
406	624	909
407	625	907
408	626	905
409	627	902
410	629	902
411	630	899
412	631	897
413	632	895
414	633	893
415	634	891
416	635	888
417	636	886
418	637	884
419	638	881
420	639	879
421	640	877
422	642	876
423	643	874
424	645	872
425	646	870
426	647	869
427	648	866
428	649	864
429	650	862
430	651	860
431	652	858
432	654	856
433	655	854
434	656	852
435	657	850
436	658	848
437	660	847
438	661	845
439	662	843
440	663	841
441	664	839
442	666	837
443	667	835
444	668	833
445	669	831
446	670	829
447	672	828
448	673	825
449	674	824
450	675	822
451	676	820
452	678	818
453	679	816
454	680	814
455	681	812
